,loop,n_estimators,num_leaves,min_child_samples,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,learning_rate,random_state,score
40,40,1052,142,84,0.5241856729219047,0.5028659218914135,0.6662328756792307,0.000882506223048502,1.1659233894475237e-12,0.06582044117197938,42,0.5714124582237075
33,33,2108,117,60,0.7463370519345788,0.6428491986112287,0.4210518854079824,1.5916849327005332e-06,1.9186281915247175e-14,0.0021866837839086893,42,0.5756372850507739
27,27,2711,168,76,0.7461152825168789,0.5790165008983728,0.42892151966265174,5.3241305281042986e-08,1.499473578092168e-13,0.001595640294572848,42,0.5809214107173115
5,5,1514,198,54,0.5802204164084199,0.44185813904071825,0.4054834940789654,1.6918297957150583e-06,2.106005089426912e-08,0.0027353486854801916,42,0.5851072552802905
32,32,904,192,89,0.7877527455288063,0.7160916736207086,0.5509394095107565,8.989366885979935e-07,8.077055916726046e-14,0.08772106976673645,42,0.5892998027071914
1,1,2620,174,52,0.6503652558023334,0.7258460073617354,0.5895520120451581,0.00010856205808186525,2.2496800213685785e-15,0.0013728017250753718,42,0.5899416832251492
49,49,2679,111,85,0.7256229587523264,0.5149522240355845,0.5709484770888918,2.806623650454243e-07,4.593852447175887e-09,0.043684794605910966,42,0.6001119685325234
13,13,1863,116,65,0.5701629689141114,0.6569762559754455,0.6185522106023271,2.8434384550533582e-08,9.400012593974735e-10,0.05956022235222962,42,0.6079833438510487
43,43,1481,101,79,0.608861804713508,0.7775366718928072,0.43080509018953045,4.2247412298954976e-06,6.031897247347405e-12,0.10200664007550742,42,0.6229456686554253
47,47,2000,122,53,0.6176445717961785,0.6972478640447646,0.44247291881026174,9.682863213615812e-07,2.406772586305483e-10,0.07035314439976388,42,0.6251467355264319
11,11,1577,145,98,0.7973852609964056,0.6604733912591283,0.4457497438477095,0.00046639323093064576,6.84409716279379e-15,0.09562646280807803,42,0.6490292609076928
34,34,2674,109,77,0.6990191224508587,0.6901223303704662,0.4571989038520616,3.2859638367034576e-07,3.3178706887804055e-13,0.0011892546471470155,42,0.6672513539881917
